0, -200.0
1, -200.0
2, -200.0
3, -200.0
4, -200.0
5, -200.0
6, -200.0
7, -200.0
8, -200.0
9, -200.0
10, -200.0
11, -200.0
12, -200.0
13, -200.0
14, -200.0
15, -200.0
16, -200.0
17, -200.0
18, -200.0
19, -200.0
20, -200.0
21, -200.0
22, -200.0
23, -200.0
24, -200.0
25, -200.0
26, -200.0
27, -200.0
28, -200.0
29, -200.0
30, -200.0
31, -200.0
32, -200.0
33, -200.0
34, -200.0
35, -200.0
36, -200.0
37, -200.0
38, -200.0
39, -200.0
40, -200.0
41, -200.0
42, -200.0
43, -200.0
44, -200.0
45, -200.0
46, -200.0
47, -200.0
48, -200.0
49, -200.0
50, -200.0
51, -200.0
52, -200.0
53, -200.0
54, -200.0
55, -200.0
56, -200.0
57, -200.0
58, -200.0
59, -200.0
60, -200.0
61, -200.0
62, -200.0
63, -200.0
64, -200.0
65, -200.0
66, -200.0
67, -200.0
68, -200.0
69, -200.0
70, -200.0
71, -200.0
72, -200.0
73, -200.0
74, -200.0
75, -200.0
76, -200.0
77, -200.0
78, -200.0
79, -200.0
80, -200.0
81, -200.0
82, -200.0
83, -200.0
84, -200.0
85, -200.0
86, -200.0
87, -200.0
88, -200.0
89, -200.0
90, -200.0
91, -200.0
92, -200.0
93, -200.0
94, -200.0
95, -200.0
96, -200.0
97, -200.0
98, -200.0
99, -200.0
100, -200.0
101, -200.0
102, -200.0
103, -200.0
104, -200.0
105, -200.0
106, -200.0
107, -200.0
108, -200.0
109, -200.0
110, -200.0
111, -200.0
112, -200.0
113, -200.0
114, -200.0
115, -200.0
116, -200.0
117, -200.0
118, -200.0
119, -200.0
120, -200.0
121, -200.0
122, -200.0
123, -200.0
124, -200.0
125, -198.0
126, -200.0
127, -200.0
128, -200.0
129, -200.0
130, -200.0
131, -200.0
132, -200.0
133, -200.0
134, -200.0
135, -200.0
136, -200.0
137, -200.0
138, -184.0
139, -200.0
140, -200.0
141, -200.0
142, -200.0
143, -200.0
144, -200.0
145, -200.0
146, -200.0
147, -200.0
148, -200.0
149, -200.0
150, -181.0
151, -200.0
152, -200.0
153, -200.0
154, -192.0
155, -200.0
156, -200.0
157, -200.0
158, -200.0
159, -200.0
160, -200.0
161, -200.0
162, -200.0
163, -200.0
164, -200.0
165, -200.0
166, -194.0
167, -200.0
168, -178.0
169, -200.0
170, -200.0
171, -200.0
172, -200.0
173, -200.0
174, -200.0
175, -200.0
176, -200.0
177, -200.0
178, -200.0
179, -200.0
180, -170.0
181, -200.0
182, -200.0
183, -200.0
184, -200.0
185, -200.0
186, -200.0
187, -200.0
188, -200.0
189, -200.0
190, -200.0
191, -200.0
192, -196.0
193, -200.0
194, -172.0
195, -189.0
196, -200.0
197, -200.0
198, -200.0
199, -184.0
200, -200.0
201, -173.0
202, -200.0
203, -200.0
204, -200.0
205, -200.0
206, -200.0
207, -200.0
208, -182.0
209, -188.0
210, -200.0
211, -200.0
212, -200.0
213, -195.0
214, -200.0
215, -200.0
216, -200.0
217, -200.0
218, -200.0
219, -200.0
220, -200.0
221, -163.0
222, -200.0
223, -200.0
224, -200.0
225, -181.0
226, -200.0
227, -188.0
228, -200.0
229, -200.0
230, -200.0
231, -200.0
232, -200.0
233, -200.0
234, -200.0
235, -200.0
236, -188.0
237, -200.0
238, -200.0
239, -192.0
240, -178.0
241, -200.0
242, -200.0
243, -191.0
244, -170.0
245, -200.0
246, -200.0
247, -200.0
248, -200.0
249, -200.0
250, -180.0
251, -200.0
252, -186.0
253, -200.0
254, -181.0
255, -200.0
256, -187.0
257, -200.0
258, -200.0
259, -200.0
260, -180.0
261, -169.0
262, -170.0
263, -200.0
264, -200.0
265, -200.0
266, -154.0
267, -200.0
268, -200.0
269, -196.0
270, -200.0
271, -200.0
272, -195.0
273, -200.0
274, -200.0
275, -178.0
276, -151.0
277, -156.0
278, -194.0
279, -183.0
280, -200.0
281, -166.0
282, -193.0
283, -158.0
284, -200.0
285, -200.0
286, -200.0
287, -200.0
288, -200.0
289, -200.0
290, -178.0
291, -200.0
292, -200.0
293, -200.0
294, -200.0
295, -200.0
296, -200.0
297, -190.0
298, -200.0
299, -200.0
300, -194.0
301, -181.0
302, -200.0
303, -200.0
304, -167.0
305, -200.0
306, -200.0
307, -200.0
308, -163.0
309, -200.0
310, -200.0
311, -200.0
312, -190.0
313, -172.0
314, -200.0
315, -179.0
316, -159.0
317, -200.0
318, -192.0
319, -200.0
320, -200.0
321, -137.0
322, -200.0
323, -168.0
324, -200.0
325, -186.0
326, -166.0
327, -171.0
328, -200.0
329, -200.0
330, -185.0
331, -200.0
332, -151.0
333, -197.0
334, -188.0
335, -178.0
336, -200.0
337, -200.0
338, -184.0
339, -125.0
340, -177.0
341, -180.0
342, -171.0
343, -200.0
344, -200.0
345, -200.0
346, -200.0
347, -137.0
348, -181.0
349, -200.0
350, -137.0
351, -200.0
352, -173.0
353, -166.0
354, -200.0
355, -200.0
356, -196.0
357, -167.0
358, -200.0
359, -200.0
360, -200.0
361, -175.0
362, -200.0
363, -200.0
364, -200.0
365, -200.0
366, -188.0
367, -198.0
368, -200.0
369, -200.0
370, -188.0
371, -180.0
372, -200.0
373, -200.0
374, -168.0
375, -200.0
376, -200.0
377, -150.0
378, -200.0
379, -185.0
380, -164.0
381, -200.0
